Law clerks have assisted the Supreme Court Justices in various capacities, since the first one was hired by Justice Horace Gray in 1882.[1]:1 By the traditions and rules that have developed around this procedure today the eight Associate Justices on the Supreme Court of the United States have the opportunity to select four law clerks each term of the court. The Chief Justice is allowed five clerks, but often hires fewer.[1]:195 After retiring from the Court, a justice may continue to hire a law clerk, who may be assigned to provide additional assistance to an active justice, or assist the retired justice when sitting by designation with a lower court.

Contents  [hide] 
1 List of Supreme Court law clerks
2 Notes
3 See also
4 References
5 Additional sources
6 External links
List of Supreme Court law clerks[edit]
The following sortable table[a] lists more than 1,900 law clerks who have served for Supreme Court justices, the years their service began and ended, the law school they attended (with the year they graduated), and any previous clerkships they held.

Seat = Supreme Court Justice Seat[b]
Num = Order that Supreme Court Justice was appointed


Seat	Num	Justice	Law clerk	Started	Finished	Law school (year)	Previous clerkship
CJ	43	Morrison Waite					
CJ	50	Melville Fuller	T. H. Fitnam	1888	1889		
CJ	50	Melville Fuller	James S. Harlan	1888	1889	admitted to bar, 1886	none
CJ	50	Melville Fuller	Clarence M. York	1889	1896		none
CJ	50	Melville Fuller	Clarence M. York	1897	1905		S. Field / M. W. Fuller
CJ	50	Melville Fuller	Stephen Albion Day	1905	1907	admitted to bar, 1907	none
CJ	55	Edward Douglass White	John J. Byrne	1918	1921		
CJ	69	William Howard Taft	John J. Byrne	1921	1924		E. White
CJ	69	William Howard Taft	Wendell Mischler	1921	1930		
CJ	69	William Howard Taft	C. Dickerman Williams	1924	1925	Yale (1924)	none
CJ	69	William Howard Taft	Reynolds Robertson	1929	1930		
CJ	69	William Howard Taft	Edwin McElwain	1938	1939		
CJ	62	Charles Evans Hughes	Wendell Mischler	1930	1930		Taft
CJ	62	Charles Evans Hughes	Reynolds Robertson	1930	1934		Taft
CJ	73	Harlan F. Stone	Bennett Boskey	1941	1943	Harvard (1939)	S. F. Reed / L. Hand (2d Cir.)
CJ	73	Harlan F. Stone	Eugene H. Nickerson	1944	April 1946	Columbia (1943)	A. Hand (2d Cir.)
CJ	73	Harlan F. Stone	Herbert Prashker	1945	April 1946		
CJ	85	Fred M. Vinson	Francis A. Allen	1946	1948	Northwestern (1946)	none
CJ	85	Fred M. Vinson	Byron R. White	1946	1947	Yale (1946)	none
CJ	85	Fred M. Vinson	Lawrence F. Ebb	1947	1948	Harvard (1946)	
CJ	85	Fred M. Vinson	Arthur R. Seder, Jr.	1947	1948	Northwestern (1947)	none
CJ	85	Fred M. Vinson	Arthur R. Seder, Jr.	1948	1949	Northwestern (1947)	Vinson
CJ	85	Fred M. Vinson	Howard J. Trienens	1950	1951	Northwestern (1949)	none
CJ	85	Fred M. Vinson	Newton N. Minow	1951	1952	Northwestern (1950)	none
CJ	85	Fred M. Vinson	James C.N. Paul	1951	1952	Penn (1951)	none
CJ	85	Fred M. Vinson	Howard J. Trienens	1951	1952	Northwestern (1949)	Vinson
CJ	85	Fred M. Vinson	Carl S. Hawkins	1952	1953	Northwestern	none
CJ	85	Fred M. Vinson	William W. Oliver	1952	1953	Northwestern (1949)	none
CJ	85	Fred M. Vinson	James C.N. Paul	1952	1953	Penn (1951)	Vinson
CJ	85	Fred M. Vinson	Earl E. Pollock	1953	1953	Northwestern (1953)	none
CJ	88	Earl Warren	Richard J. Flynn	1953	1954		
CJ	88	Earl Warren	William W. Oliver	1953	1954	Northwestern (1949)	Vinson
CJ	88	Earl Warren	Earl E. Pollock	1953	1955	Northwestern (1953)	Vinson
CJ	88	Earl Warren	Gerald Gunther	1954	1955	Harvard (1953)	L. Hand (2d Cir.)
CJ	88	Earl Warren	Payson R. Wolff	1954	1955	Yale (1954)	none
CJ	88	Earl Warren	Jerome A. Cohen	1955	1956	Yale (1955)	none
CJ	88	Earl Warren	Graham Moody	1955	1956		
CJ	88	Earl Warren	Samuel A. Stern	1955	1956	Harvard (1952)	Magruder (1st Cir.)
